buyer,COUNTRY,yyyymm,uom,GRADE_SPEC,Sum_of_QTY,Sum_of_TOTAL_VALUE,Avg_PRICE,source,entity_name
Shah C J World Llp,CHINA,202511,KG,USP,2000.0,24856526.0,12428.263,Buyer,Shah C J World Llp
Shah C J World Llp,CHINA,202512,KG,USP,1000.0,12957500.0,12957.5,Buyer,Shah C J World Llp
Shah Tc Distribution Llp,CHINA,202504,KG,IP,14825.0,178141816.0,12016.311365935919,Buyer,Shah Tc Distribution Llp
Shah Tc Distribution Llp,CHINA,202506,KG,IP,4275.0,51883124.0,12136.403274853801,Buyer,Shah Tc Distribution Llp
Shah Tc Distribution Llp,CHINA,202507,KG,IP,2350.0,28359800.0,12068.0,Buyer,Shah Tc Distribution Llp
Shriya Pharma And Surgical,CHINA,202507,KG,USP,2000.0,24584340.0,12292.17,Buyer,Shriya Pharma And Surgical
Shriya Pharma And Surgical,CHINA,202602,KG,USP,2000.0,26118294.0,13059.147,Buyer,Shriya Pharma And Surgical
Sun Pharmaceutical Industries Ltd,CHINA,202509,KG,IP,2550.0,31719450.0,12439.0,Buyer,Sun Pharmaceutical Industries Ltd
Sun Rise Enterprises,CHINA,202504,KG,IP,3500.0,41611812.0,11889.089142857143,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202505,KG,IP,4800.0,56829622.0,11839.504583333333,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202505,KG,USP,2000.0,23447164.0,11723.582,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202506,KG,IP,3000.0,36037868.0,12012.622666666666,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202507,KG,IP,5500.0,65714656.0,11948.119272727272,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202507,KG,USP,2000.0,24551332.0,12275.666,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202508,KG,IP,7000.0,85337980.0,12191.14,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202601,KG,IP,10000.0,127706860.0,12770.686,Buyer,Sun Rise Enterprises
Sun Rise Enterprises,CHINA,202602,KG,IP,2000.0,25540704.0,12770.352,Buyer,Sun Rise Enterprises
Surmount Laboratories Ltd,CHINA,202602,KG,USP,1000.0,12971700.0,12971.7,Buyer,Surmount Laboratories Ltd
Surmount Laboratories Pvt Ltd,CHINA,202505,KG,USP,1000.0,11845894.0,11845.894,Buyer,Surmount Laboratories Pvt Ltd
Theon Pharmaceuticals Ltd,CHINA,202505,KG,USP,2000.0,23953999.5,11976.99975,Buyer,Theon Pharmaceuticals Ltd
Theon Pharmaceuticals Ltd,CHINA,202506,KG,USP,2000.0,24290000.0,12145.0,Buyer,Theon Pharmaceuticals Ltd
Theon Pharmaceuticals Ltd,CHINA,202508,KG,USP,2000.0,24808000.0,12404.0,Buyer,Theon Pharmaceuticals Ltd
Theon Pharmaceuticals Ltd,CHINA,202511,KG,USP,2000.0,25059999.0,12529.9995,Buyer,Theon Pharmaceuticals Ltd
Theon Pharmaceuticals Ltd,CHINA,202512,KG,USP,2000.0,25564001.0,12782.0005,Buyer,Theon Pharmaceuticals Ltd
Unimax Laboratories,CHINA,202506,KG,USP,750.0,8845200.0,11793.6,Buyer,Unimax Laboratories
Unimax Laboratories,CHINA,202507,KG,USP,850.0,10710357.0,12600.42,Buyer,Unimax Laboratories
Unimax Laboratories,CHINA,202511,KG,USP,800.0,10078416.0,12598.02,Buyer,Unimax Laboratories
Vincit Labs Pvt Ltd,CHINA,202511,KG,USP,1000.0,11421000.0,11421.0,Buyer,Vincit Labs Pvt Ltd
Zim Laboratories Ltd,CHINA,202507,KG,USP,4000.0,48272000.0,12068.0,Buyer,Zim Laboratories Ltd
Zim Laboratories Ltd,CHINA,202508,KG,USP,2500.0,29600900.0,11840.36,Buyer,Zim Laboratories Ltd
Zim Laboratories Ltd,CHINA,202511,KG,USP,2000.0,24164999.5,12082.49975,Buyer,Zim Laboratories Ltd
Zim Laboratories Ltd,CHINA,202512,KG,USP,4000.0,51198000.0,12799.5,Buyer,Zim Laboratories Ltd
